cra,CRAsolution,stim,distTime,position
thorn wack rose,bush,tscst,5,pos3
date alley fold,blind,bold,6,
blank list mate,check,cstct,6,pos1
skirts take put,out,bold,5,
cadet capsule ship,space,bold,6,
sage paint hair,brush,bold,5,pos1
dollar stop language,sign,tscst,5,pos1
garbage beer paint,can,tscst,6,pos3
cat number phone,call,sctcs,6,pos2
boot summer ground,camp,bold,5,
release french secretary,press,cstct,6,pos1
glass rush happy,hour,bold,5,
fish mine rush,gold,tscst,6,pos2
pike coat signal,turn,bold,5,
stick maker point,match,sctcs,6,pos2
tank hill secret,top,bold,6,
preserve ranger tropical,forest,cstct,5,pos3
light birthday stick,candle,bold,5,
dream break light,day,tscst,5,pos2
french car shoe,horn,bold,6,
fur rack tail,coat,bold,5,
catcher food hot,dog,sctcs,6,pos2
noise collar wash,white,sctcs,6,pos3
middle district house,school,bold,5,
demon limit way,speed,bold,6,
carpet alert ink,red,cstct,6,pos1
mouse bear sand,trap,tscst,5,pos3
man glue star,super,bold,5,
change circuit cake,short,tscst,6,pos2
through disk way,drive,bold,5,
pain serial whale,killer,cstct,6,pos1
shine beam struck,moon/star,bold,5,
right cat carbon,copy,bold,6,
master toss finger,ring,tscst,5,pos3
main sweeper light,street,bold,6,
house thumb pepper,green,cstct,6,pos1
line patrol town,border,bold,5,
animal back rat,pack,bold,6,
dress dial flower,sun,bold,5,pos1
dust cereal fish,bowl,tscst,5,pos1
wheel hand shopping,cart,tscst,6,pos3
time blown nelson,full,sctcs,6,pos2
due life tense,past,bold,5,
palm shoe house,tree,cstct,6,pos1
way board sleep,walk,bold,5,
chamber mask natural,gas,bold,5,
print berry bird,blue,cstct,6,pos1
cracker fly fighter,fire,bold,5,
life color coast,guard,tscst,6,pos3
river note account,bank,sctcs,5,pos1
nuclear feud album,family,tscst,5,pos3
puppy true letter,love,bold,6,
trap back screen,door,cstct,6,pos1
hard drift cutter,hard drift cutter,bold,5,
food front drug,food front drug,bold,6,
wagon break radio,wagon break radio,bold,5,pos1
officer cash larceny,officer cash larceny,tscst,5,pos1
fox man peep,fox man peep,tscst,6,pos3
opera hand dish,opera hand dish,sctcs,6,pos2
bedroom plan brew,bedroom plan brew,bold,5,
floor shade heat,floor shade heat,cstct,6,pos1
keg puff room,keg puff room,bold,5,
cross rain tie,cross rain tie,tscst,6,pos3
tomato cement tooth,tomato cement tooth,sctcs,5,pos1
pie luck belly,pie luck belly,bold,5,
mill tooth dust,mill tooth dust,sctcs,6,pos3
set program cable,set program cable,cstct,5,pos2
sandwich house golf,sandwich house golf,bold,5,
spoon cloth card,spoon cloth card,cstct,6,pos3
scan nap burglar,scan nap burglar,tscst,5,pos2
hound pressure shot,hound pressure shot,bold,6,
hammer gear hunter,hammer gear hunter,bold,6,
sake pet nick,sake pet nick,cstct,5,pos1
bay picture washer,bay picture washer,bold,6,
eight skate stick,eight skate stick,tscst,5,pos3
peach arm tar,peach arm tar,bold,5,
tail water flood,tail water flood,sctcs,6,pos1
political surprise line,political surprise line,bold,5,
mouth bike oil,mouth bike oil,bold,6,
marshal child piano,marshal child piano,tscst,6,pos2
type ghost screen,type ghost screen,bold,5,
flower friend scout,flower friend scout,sctcs,6,pos2
sense courtesy place,sense courtesy place,bold,6,
poison league creeping,poison league creeping,cstct,5,pos3
measure worm video,measure worm video,bold,5,
office mail hat,office mail hat,tscst,5,pos2
quick spoon screen,quick spoon screen,bold,6,
cane daddy plum,cane daddy plum,bold,5,
lift card mask,lift card mask,sctcs,6,pos2
age mile sand,age mile sand,sctcs,6,pos3
ruby glass bunny,ruby glass bunny,bold,5,
baby spring cap,baby spring cap,bold,6,
basket eight snow,basket eight snow,cstct,6,pos1
fly clip wall,fly clip wall,tscst,5,pos3
foul ground mate,foul ground mate,bold,5,
waffle lung tire,waffle lung tire,tscst,6,pos2
food forward break,food forward break,bold,5,
knife light pal,knife light pal,cstct,6,pos1
flake mobile cone,flake mobile cone,bold,5,
worm shelf end,worm shelf end,bold,6,
thorn wack rose,bush,tscst,5,pos3
date alley fold,blind,bold,6,
blank list mate,check,cstct,6,pos1
skirts take put,out,bold,5,
cadet capsule ship,space,bold,6,
sage paint hair,brush,bold,5,pos1
dollar stop language,sign,tscst,5,pos1
garbage beer paint,can,tscst,6,pos3
cat number phone,call,sctcs,6,pos2
boot summer ground,camp,bold,5,
release french secretary,press,cstct,6,pos1
glass rush happy,hour,bold,5,
